"","lat","lon","Operator","Class"
"314",12.8867138,77.656229,"Idea","good"
"315",12.8941019,77.6573703,"Idea","good"
"316",12.9284553,77.6003959,"Idea","good"
"317",13.1014969,77.593585,"Idea","satisfactory"
"318",13.0305582,77.5686697,"Idea","good"
"319",12.9730687,77.7204945,"Idea","good"
"320",13.0473455,77.5918377,"Idea","good"
"321",12.9384013,77.6099296,"Idea","good"
"322",12.9548892,77.6052912,"Idea","good"
"323",12.88048942,77.65478964,"Idea","good"
"324",12.9585587,77.6047798,"Idea","good"
"325",12.9976463,77.5843536,"Idea","good"
"326",12.9665812,77.6499027,"Idea","good"
"327",12.9684813,77.6504013,"Idea","good"
"328",12.9344512,77.6305335,"Idea","good"
"329",12.9730399,77.6991239,"Idea","good"
"330",12.9712136,77.7257708,"Idea","good"
"331",12.914139,77.651664,"Idea","good"
"332",12.9237524,77.5802008,"Idea","good"
"333",12.88779641,77.65725209,"Idea","good"
"334",12.9888391,77.7288301,"Idea","satisfactory"
"335",12.9337689,77.6111406,"Idea","good"
"336",12.95996,77.6428177,"Idea","good"
"337",12.9028825,77.6611912,"Idea","good"
"338",12.9846471,77.7336981,"Idea","good"
"339",13.1268272,77.7728728,"Idea","poor"
"340",13.0097506,77.5838175,"Idea","good"
"341",12.9904109,77.7235078,"Idea","good"
"342",12.9029903,77.5858645,"Idea","good"
"343",13.0440745,77.5910825,"Idea","good"
"344",12.8885564,77.6242858,"Idea","good"
"345",13.0341379,77.5885371,"Idea","good"
"346",13.0499682,77.5987888,"Idea","good"
"347",12.9656493,77.5362233,"Idea","good"
"348",13.020153,77.5838977,"Idea","good"
"349",12.9906364,77.7311639,"Idea","good"
"350",12.9142876,77.6766906,"Idea","good"
"351",13.0175811,77.5838803,"Idea","good"
"352",12.9029884,77.5858387,"Idea","good"
"353",12.9890892,77.7334075,"Idea","good"
"354",12.8880692,77.65713522,"Idea","good"
"355",12.9549367,77.5932445,"Idea","good"
"356",12.9340799,77.5897746,"Idea","good"
"357",12.8879045,77.6571883,"Idea","good"
"358",12.9968878,77.6917708,"Idea","good"
"359",12.9543322,77.6524406,"Idea","good"
"360",12.88795561,77.65723557,"Idea","good"
"361",12.88787855,77.65718204,"Idea","good"
"362",12.9928586,77.7107103,"Idea","good"
"363",12.9543038,77.6523411,"Idea","good"
"364",12.989094,77.7334134,"Idea","good"
"365",12.9731032,77.7205068,"Idea","good"
"366",12.9904673,77.7232923,"Idea","good"
"367",12.9141401,77.651664,"Idea","good"
"368",12.9448915,77.6982656,"Idea","good"
"369",12.9947272,77.7179626,"Idea","good"
"370",13.004296,77.5841791,"Idea","good"
"371",12.9103219,77.5914036,"Idea","good"
"372",12.9791614,77.6952369,"Idea","good"
"373",12.9634179,77.6383035,"Idea","good"
"374",12.9309203,77.606981,"Idea","good"
"375",12.9749657,77.7268208,"Idea","good"
"376",12.9634237,77.6382825,"Idea","good"
"377",12.9914919,77.7208974,"Idea","good"
"378",13.0483342,77.5923616,"Idea","satisfactory"
"379",12.9913735,77.7150347,"Idea","good"
"380",12.97495844,77.72647407,"Idea","good"
"381",12.9110778,77.6263049,"Idea","good"
"382",12.9831048,77.7335727,"Idea","good"
"383",12.9728139,77.7012311,"Idea","good"
"384",13.0272097,77.5777803,"Idea","good"
"385",12.87745237,77.65395156,"Idea","good"
"386",12.8878213,77.6575459,"Idea","good"
"387",12.9714491,77.7268617,"Idea","good"
"388",12.8878873,77.6569851,"Idea","good"
"389",13.10085,77.5942453,"Idea","good"
"390",12.887891,77.6571585,"Idea","good"
"391",12.9302621,77.6331428,"Idea","good"
"392",12.9895908,77.7313648,"Idea","good"
"393",12.8878213,77.6575459,"Idea","good"
"394",12.9245464,77.6742073,"Idea","good"
"395",12.9594571,77.7011946,"Idea","good"
"396",12.9543305,77.6523388,"Idea","good"
"397",12.930844,77.6288823,"Idea","good"
"398",12.9377799,77.575442,"Idea","good"
"399",12.9244307,77.6181293,"Idea","good"
"400",13.0321425,77.5672947,"Idea","good"
"401",12.9771712,77.7189887,"Idea","good"
"402",13.0459119,77.5913282,"Idea","good"
"403",12.8889905,77.6238174,"Idea","good"
"404",12.9367544,77.6180962,"Idea","good"
"405",13.0404433,77.5896745,"Idea","good"
"406",12.9652035,77.7139645,"Idea","good"
"407",13.0181074,77.5839346,"Idea","good"
"408",13.0576372,77.5936076,"Idea","good"
"409",12.9882371,77.7321142,"Idea","good"
"410",12.94347,77.6077567,"Idea","satisfactory"
"411",12.9744441,77.5713269,"Idea","good"
"412",12.88795561,77.65723557,"Idea","good"
"413",13.0476436,77.5711095,"Idea","good"
"414",12.9149517,77.6753832,"Idea","satisfactory"
"415",12.9675145,77.7142645,"Idea","good"
"416",13.0386524,77.5895718,"Idea","good"
"417",12.9278662,77.6204405,"Idea","good"
"418",12.9744178,77.5731073,"Idea","good"
"419",12.9836702,77.7336804,"Idea","good"
"420",12.9760709,77.5710419,"Idea","good"
"421",12.9367831,77.6975544,"Idea","good"
"422",12.908651,77.6492121,"Idea","good"
"423",12.9732008,77.7204998,"Idea","good"
"424",12.9663631,77.6201502,"Idea","good"
"425",12.8968125,77.6351088,"Idea","good"
"426",12.9482593,77.6993724,"Idea","good"
"427",12.9361459,77.5849042,"Idea","good"
"428",12.9546812,77.6415032,"Idea","good"
"429",12.9543322,77.6524406,"Idea","good"
"430",12.940577,77.6959361,"Idea","good"
"431",12.9386443,77.6972392,"Idea","good"
"432",12.9641821,77.710885,"Idea","good"
"433",12.9612224,77.7187013,"Idea","good"
"434",12.9210384,77.6655727,"Idea","good"
"435",13.0290917,77.575594,"Idea","good"
"436",12.8877892,77.6574715,"Idea","good"
"437",12.9241831,77.665445,"Idea","good"
"438",12.9731225,77.6008856,"Idea","good"
"439",12.8894822,77.6566549,"Idea","good"
"440",12.9744897,77.7110082,"Idea","good"
"441",13.0030864,77.7572047,"Idea","good"
"442",12.9558886,77.6014216,"Idea","good"
"443",12.9890887,77.733431,"Idea","good"
"444",12.968251,77.6002975,"Idea","good"
"445",12.9730935,77.7203939,"Idea","good"
"446",12.9891082,77.7334498,"Idea","good"
"447",12.9720711,77.5375416,"Idea","good"
"448",12.9499983,77.6057667,"Idea","satisfactory"
"449",12.87752335,77.65391418,"Idea","good"
"450",12.9188998,77.6516743,"Idea","good"
"451",12.9582063,77.5943014,"Vodafone","good"
